Kare_(Frame),Zaman_(Saniye),Ortalama_Hedef_Uzakligi,Hedef_Bulundu
0,0.0,312.51,0
1,0.03,312.81,0
2,0.07,313.16,0
3,0.1,313.51,0
4,0.13,313.93,0
5,0.17,303.86,0
6,0.2,304.28,0
7,0.23,304.76,0
8,0.27,305.23,0
9,0.3,305.84,0
10,0.33,295.69,0
11,0.37,296.13,0
12,0.4,296.58,0
13,0.43,297.1,0
14,0.47,297.63,0
15,0.5,298.23,0
16,0.53,310.25,0
17,0.57,320.79,0
18,0.6,321.16,0
19,0.63,321.53,0
20,0.67,321.94,0
21,0.7,322.4,0
22,0.73,322.92,0
23,0.77,323.48,0
24,0.8,334.41,0
25,0.83,334.84,0
26,0.87,337.55,0
27,0.9,344.58,0
28,0.93,344.55,0
29,0.97,344.55,0
30,1.0,353.99,0
31,1.03,353.89,0
32,1.07,353.83,0
33,1.1,353.83,0
34,1.13,353.86,0
35,1.17,353.92,0
36,1.2,353.97,0
37,1.23,354.06,0
38,1.27,354.12,0
39,1.3,354.21,0
40,1.33,354.3,0
41,1.37,354.38,0
42,1.4,354.45,0
43,1.43,354.52,0
